Aadhaar ID name,Gender,Pet Name,Location,Colour/Pattern,Description,Collar colour/type,Neutering status,Date of latest vaccination,Pictures ,Date of survery ( 29/03/26),( 12/4/26)
Dog 1,Male,-,Tulita,chocolate brown,"pointy ears,timid, black snout",no collar,non neutered,not vaccinated,https://drive.google.com/drive/folders/11E-G7xjR2x4KeZ9kkPAF8XZUz3bUoMUN?usp=sharing ,spotted,-
Dog 2,Female,Dora,Tulita,Tan with white patches,"Black snout, dark eye rims,pointy ears",red collar (without QR),neutered,mid of December,https://drive.google.com/drive/folders/1ur0-7OGNDkR4qf-qKy-sdNufkpLWuqXT?usp=sharing,spotted,-
Dog 3,Male,-,Faculty residence,Light brown,"Old, with some facial scarring",no collar,non neutered,not vaccinated,https://drive.google.com/drive/folders/1_CyHsrHpj6Vs_8bvIcl8dEtyvAHfzfO7?usp=sharing,not spotted,spotted
Dog 4,Female,Chitti,C Block,Cream,"Pink nose, flop ears",red collar (with QR),non neutered,mid of December,https://drive.google.com/drive/folders/1InfgLqExm4gwDpBec5fuPorj7FiQdhly?usp=sharing,spotted,-
Dog 5,Male,Stubby,C Block,Brown,"Stubbed tail, floppy ears",blue collar (with QR),non neutered,not vaccinated,https://drive.google.com/drive/folders/1AAWefv6-QmG63Q6JElwiUqyjFT3dU3sG?usp=sharing,spotted,-
Dog 6,Male,-,Research block,Brown,"Curled tail, dark muzzle, muscular build",blue collar (with QR),non neutered,not vaccinated,https://drive.google.com/drive/folders/1bucBukRhQpK4OQzj76RfkeW_hWk6wWLx?usp=sharing ,spotted,-
Dog 7,Female,Jumpy,Wellness clinic,Cream with light brown patches,"very jumpy, always covered in dirt",red collar (with OR),non neutered,not vaccinated,https://drive.google.com/drive/folders/1YlxiTawVnIJzC5ZNnWwkjcXxT5v0TT8F?usp=sharing,spotted,-
Dog 8,Male,,Research Block,Tan," Pup, Pointy ears",blue collar (without QR),non neutered,not vaccinated,https://drive.google.com/drive/folders/1Ged22D0E3Txdm8-uvzbANL87qqsQqULP?usp=sharing,spotted,-
Dog 9,Female,-,Research block,Cream,"pup, pointy ears, with scarring under left front limb",red collar(without QR),non neutered,not vaccinated,https://drive.google.com/drive/folders/1Q9IQutEe7hI1s4U5c_HeSAvM7E2bWX_g?usp=sharing,spotted,-
Dog 10,Male,,Guest house,Brown,Scars along the Spine,red collar (without QR), neutered,vaccinated,https://drive.google.com/drive/folders/1BvwMG72uejQsIc7Mots7G47apcRspUcm?usp=sharing,spotted,-
Dog 11,Female,crema?,Guest house,Cream,"Pointy ears, curled tail",dark green (without QR),neutered,vaccinated,https://drive.google.com/drive/folders/1r0eNrGZ4GBRz_e7IKnUA0bP2s8aeRl-N?usp=sharing,spotted,-
Dog 12,Male ,socsac,Dining block,Brown,"Old, floppy ears",black(with QR),neutered,not vaccinated,https://drive.google.com/drive/folders/1EPPL9I1XrxzbSyFz3tTqPmyBa0D7i2yE?usp=sharing,spotted,-
Dog 13,Male,,Dining block,"White, with brown patches","Young adult, floppy ears",no collar,non neutered,vaccinated,https://drive.google.com/drive/folders/153Blfy-0I94fCKGLCSJSaa98fJGTlv54?usp=sharing,spotted,-
Dog 14,,,Dining block,"white, black face",young adult,blue collar(with QR),non neutered,vaccinated,https://drive.google.com/drive/folders/1lUU7lIEfqVEmRidM0b_Ra40s2oTrlnf0?usp=sharing,spotted,-
Dog 15,Female,,Dining block,Brown,"old, plump, chipped ear",black(with QR),neutered,not vaccinated,https://drive.google.com/drive/folders/1jXT9EaULujivFXVe12dsBDzxpVU18kgB?usp=sharing,spotted,-
Dog 16,Female,,Dining block,Brown,"young adult, white tipped tail and paws ",blue(with QR),non neutered,vaccinated,https://drive.google.com/drive/folders/1nvn3aR3fqyrmdru0HXR9T4AoJsdtzQW6?usp=sharing ,spotted,-
Dog 17,,,Dining block,white with brown spots,"young adult, spotted",,non neutered,vaccinated,,not spotted,-
Dog 18,Female,,Dining block,White,"thin, pointy ears",black(with QR),neutered,not vaccinated,,not spotted,-
Dog 19,Male,,Faculty residence,Brown,"pink nose, pointy ears , short, chubby",no collar,non neutered,not vaccinated,https://drive.google.com/drive/folders/1ZeiJsw88nfAjNrdEpkWpjkF_72_phtMo?usp=sharing,-,spotted
Dog 20,Female,,Faculty residence,white with cream patches,"tall, black nose",,neutered,not vaccinated,https://drive.google.com/drive/folders/11gor5PYKgRSLY1aOhAsg_7Kwim3DMkP8?usp=sharing ,-,spotted
Dog 21,Male,,Faculty residence,Black,"solid black, pointy ears",no collar,non neutered,not vaccinated,https://drive.google.com/drive/folders/1JPo70iUN6QUcT6dhzPligAHASztDi4Q1?usp=sharing,-,spotted
Dog 22,Female,,Faculty residence,brown,"pup, pointy ears, jet black eyes and nose",no collar,non neutered,not vaccinated, ,-,spotted
Dog 23,Female,,Faculty residence,Brown,"pup, very thin",no collar,non neutered,not vaccinated,,-,spotted
Dog 24,,,B block kitchen,White with brown patches,"pup, floppy brown ears",no collar,non neutered,not vaccinated,https://drive.google.com/drive/folders/1l1BXciykkMaIWylHWi7E_hXTaQCGpZ04?usp=sharing,,
Dog 25,,,B block kitchen,Brown,"Brown pup, white feet, black snout with white muzzle, white collar patch",no collar,non neutered,not vaccinated,https://drive.google.com/drive/folders/1OA8hgn3B-r-5oJEtMZWCKp-7xOAWx9WY?usp=sharing,,
Dog 26,,,B block kitchen,White with brown patches,"white pup, pointy ears, brown fur surrounding the eyes",no collar,non neutered,not vaccinated,https://drive.google.com/drive/folders/1cjpxGPt36H8b_HiU70i4AZjqpumbVSXD?usp=sharing,,
